movieId|title|genre|decade|userId|rating|timestamp|rank
346|Jackie Brown (1997)|crime|199|166|1|886397596|1
1081|Curdled (1996)|crime|199|181|1|878962623|1
583|Romeo Is Bleeding (1993)|crime|199|224|1|888103729|1
334|U Turn (1997)|crime|199|181|1|878961749|1
327|Cop Land (1997)|crime|199|112|1|884992535|1
11|Seven (Se7en) (1995)|crime|199|305|1|886323237|1
100|Fargo (1996)|crime|199|198|1|884207325|1
299|Hoodlum (1997)|crime|199|21|1|874950931|1
844|Freeway (1996)|crime|199|13|1|882397010|1
120|Striptease (1996)|crime|199|189|1|893264954|1
1208|Kiss of Death (1995)|crime|199|224|1|888104554|1
396|Serial Mom (1994)|crime|199|174|1|886515104|1
56|Pulp Fiction (1994)|crime|199|305|1|886323068|1
403|Batman (1989)|crime|198|38|1|892432205|1
649|Once Upon a Time in America (1984)|crime|198|254|1|886474619|1
17|From Dusk Till Dawn (1996)|crime|199|315|1|879821003|1
1198|Purple Noon (1960)|crime|196|181|1|878962585|1
327|Cop Land (1997)|crime|199|303|1|879466166|1
76|Carlito's Way (1993)|crime|199|305|1|886323506|1
346|Jackie Brown (1997)|crime|199|125|1|892835800|1
312|Midnight in the Garden of Good and Evil (1997)|crime|199|13|1|883670630|1
120|Striptease (1996)|crime|199|1|1|875241637|1
29|Batman Forever (1995)|crime|199|22|1|878888228|1
802|Hard Target (1993)|crime|199|246|1|884923471|1
332|Kiss the Girls (1997)|crime|199|3|1|889237224|1
823|Mulholland Falls (1996)|crime|199|104|1|888465554|1
248|Grosse Pointe Blank (1997)|crime|199|223|1|891549683|1
55|Professional, The (1994)|crime|199|352|1|884289728|1
231|Batman Returns (1992)|crime|199|246|1|884922898|1
396|Serial Mom (1994)|crime|199|318|1|884498684|1
334|U Turn (1997)|crime|199|13|1|886952467|1
576|Cliffhanger (1993)|crime|199|217|1|889070087|1
17|From Dusk Till Dawn (1996)|crime|199|346|1|874950839|1
544|Things to Do in Denver when You're Dead (1995)|crime|199|342|1|875318606|1
302|L.A. Confidential (1997)|crime|199|208|1|883108157|1
1390|Innocent Sleep, The (1995)|crime|199|181|1|878962052|1
92|True Romance (1993)|crime|199|197|1|891410082|1
312|Midnight in the Garden of Good and Evil (1997)|crime|199|149|1|883512950|1
182|GoodFellas (1990)|crime|199|363|1|891494962|1
231|Batman Returns (1992)|crime|199|151|1|879543366|1
1139|Hackers (1995)|crime|199|64|1|889740260|1
403|Batman (1989)|crime|198|95|1|879196457|1
17|From Dusk Till Dawn (1996)|crime|199|299|1|889503374|1
12|Usual Suspects, The (1995)|crime|199|234|1|892333830|1
1011|2 Days in the Valley (1996)|crime|199|63|1|875747731|1
120|Striptease (1996)|crime|199|279|1|888427451|1
