movieId|title|genre|decade|userId|rating|timestamp|rank
327|Cop Land (1997)|crime|199|287|5|875333916|1
273|Heat (1995)|crime|199|213|5|878870987|1
11|Seven (Se7en) (1995)|crime|199|292|5|881104093|1
56|Pulp Fiction (1994)|crime|199|13|5|881515011|1
12|Usual Suspects, The (1995)|crime|199|272|5|879455254|1
182|GoodFellas (1990)|crime|199|72|5|880036515|1
611|Laura (1944)|crime|194|10|5|877886722|1
100|Fargo (1996)|crime|199|10|5|877891747|1
56|Pulp Fiction (1994)|crime|199|189|5|893265263|1
1198|Purple Noon (1960)|crime|196|90|5|891383866|1
11|Seven (Se7en) (1995)|crime|199|200|5|884129542|1
55|Professional, The (1994)|crime|199|16|5|877717956|1
187|Godfather: Part II, The (1974)|crime|197|308|5|887738760|1
823|Mulholland Falls (1996)|crime|199|13|5|882397833|1
55|Professional, The (1994)|crime|199|216|5|880245145|1
92|True Romance (1993)|crime|199|59|5|888204997|1
194|Sting, The (1973)|crime|197|16|5|877720733|1
56|Pulp Fiction (1994)|crime|199|145|5|875271896|1
194|Sting, The (1973)|crime|197|239|5|889178833|1
182|GoodFellas (1990)|crime|199|62|5|879375169|1
12|Usual Suspects, The (1995)|crime|199|90|5|891383241|1
127|Godfather, The (1972)|crime|197|175|5|877107640|1
100|Fargo (1996)|crime|199|63|5|875747319|1
302|L.A. Confidential (1997)|crime|199|206|5|888180227|1
403|Batman (1989)|crime|198|37|5|880915942|1
12|Usual Suspects, The (1995)|crime|199|151|5|879524368|1
187|Godfather: Part II, The (1974)|crime|197|85|5|879454235|1
127|Godfather, The (1972)|crime|197|280|5|891702544|1
187|Godfather: Part II, The (1974)|crime|197|271|5|885848343|1
327|Cop Land (1997)|crime|199|282|5|879949417|1
770|Devil in a Blue Dress (1995)|crime|199|158|5|880134477|1
482|Some Like It Hot (1959)|crime|195|271|5|885848519|1
1245|Gridlock'd (1997)|crime|199|145|5|875271397|1
56|Pulp Fiction (1994)|crime|199|16|5|877719863|1
